COUNTRY
,0,
US,1,
CA,2,
GB,3,
MO,4,
CL,5,
SE,6,
NL,7,
AU,8,
ZA,9,
IE,10,
BE,11,
FI,12,
NZ,13,
KZ,14,
AT,15,
PE,16,
IN,17,
CH,18,
PT,19,
ES,20,
IL,21,
DE,22,
SG,23,
IS,24,
UA,25,
HK,26,
RU,27,
NO,28,
FR,29,
AS,30,
DK,31,
UY,32,
MU,33,
DZ,34,
PK,35,
AR,36,
AF,37,
TH,38,
LU,39,
SA,40,
MV,41,
PL,42,
UM,43,
MY,44,
DO,45,
CZ,46,
IT,47,
KR,48,
CO,49,
MA,50,
MX,51,
PR,52,
QA,53,
JP,54,
WS,55,
RO,56,
LY,57,
AE,58,
BR,59,
CR,60,
GR,61,
HU,62,
AG,63,
LT,64,
IR,65,
AD,66,
SV,67,
VN,68,
CN,69,
ME,70,
RS,71,
AL,72,
SK,73,
BY,74,
CI,75,
SI,76,
MG,77,
PF,78,
PH,79,
TZ,80,
ZW,81,
GT,82,
AX,83,
EE,84,
ST,85,
HR,86,
VI,87,
BH,88,
TV,89,
BN,90,
AQ,91,
JM,92,
TW,93,
BF,94,
BS,95,
EC,96,
LB,97,
KE,98,
NG,99,
PG,100,
TR,101,
SX,102,
NP,103,
BT,104,
ID,105,
TT,106,
UG,107,
ZM,108,
IM,109,
EG,110,
CY,111,
BD,112,
VU,113,
BB,114,
GH,115,
BG,116,
LR,117,
SO,118,
HN,119,
KH,120,
IQ,121,
VE,122,
SD,123,
KW,124,
GY,125,
MT,126,
ET,127,
PA,128,
LK,129,
JO,130,
NI,131,
CONDITION
spondylolisthesis,0,
radiculopathy,0,
Cervical spondylosis,0,
lumbar spondylosis,0,
Kyphosis,0,
lumbosacral spondylosis,0,
spondylosis,0,
Lumbar Radiculitis,0,
cervical myelopathy,0,
lumbar radiculopathy,0,
lumbar spondylolysis,0,
lumbar,0,
spondylolysis,0,
Autonomic neuropathy,1,
occipital neuralgia,1,
Trigeminal neuralgia,1,
Peripheral neuropathy,1,
Reflex Sympathetic Dystrophy,1,
pudendal neuralgia,1,
Cerebral palsy,1,
Polyneuropathy,1,
Muscular dystrophy,1,
Diabetic neuropathy,1,
Optic neuropathy,1,
neuropathy,1,
Aphakia,1,
Glaucoma,1,
Chronic Idiopathic Neuropathy,1,
Nerve palsy,1,
cerbral palsy,1,
Spinal Myoclonus,1,
Keratoconus,1,
Optic neuritis,1,
mystery neuropathy,1,
Autonomic Cardiac Neuropathy,1,
intercostal neuralgia,1,
Neuralgia,1,
ulnar neuropathy,1,
trigeminal neuralgia,1,
Idiopathic Neuropathy,1,
Autoimmune Autonomic Neuropathy,1,
Inflammatory Neuropathy,1,
PUDENDAL NEUROPATHY,1,
Trigeminal Neuropathy,1,
Atrophy,1,
Postherpetic neuralgia,1,
leg neuropathy,1,
glossopharyngeal neuralgia,1,
trigeminal nerve pain,1,
Corneal Dystrophy,1,
retinopathy,1,
Atypical Trigeminal Neuralgia,1,
hand neuropathy,1,
Restless legs syndrome,2,
Muscle pain,2,
Spastic legs,2,
Muscle weakness,2,
Muscle Spasm,2,
Muscle cramp,2,
Weakness,2,
Muscle spasms,2,
muscle tension,2,
Muscle aches,2,
Twitching,2,
back muscle,2,
Back Muscle aches,2,
stomach twitch,2,
muscle ache,2,
muscle twitching,2,
muscle soreness,2,
muscle stiffness,2,
torn muscle,2,
leg,2,
leg muscle spasms,2,
Arm Weakness,2,
Leg Weakness,2,
uterus cramps,2,
eye weakness,2,
muscle tightness,2,
leg cramps,2,
Foot Cramp,2,
Restless Leg Syndrome,2,
Muscle Cramps,2,
muscle spasms - ear,2,
Fatigue and Weakness,2,
tongue spasm,2,
neck tremor,2,
muscle jerks,2,
muscle pain legs,2,
body spasms,2,
facial twitch,2,
Stiff muscles,2,
body weakness,2,
legs weakness,2,
jerking limbs,2,
muscle pain leg,2,
muscular pain,2,
restless leg,2,
muscle heaviness,2,
upper back muscle spasm,2,
leg swelling,2,
R Leg Numbness,2,
R Leg Weakness,2,
Weakness hands,2,
sever muscle weakness,2,
Irritable bowel syndrome,3,
Hypothyroidism,3,
Post-concussion syndrome,3,
Dysautonomia,3,
Hyperadrenergic Dysautonomia,3,
Polycystic ovary syndrome,3,
Protoporphyria,3,
Syringomyelia,3,
Carpal tunnel syndrome,3,
Chiari malformation,3,
Tourette syndrome,3,
Osteomalacia,3,
Occult Spina Bifida,3,
Hereditary hemorrhagic telangiectasia,3,
Neurofibromatosis,3,
CREST syndrome,3,
Hyperthyroidism,3,
erythromelalgia,3,
Meralgia paresthetica,3,
tension myositis syndrome,3,
Hypercalcemia,3,
Arthrogryposis,3,
Cushing syndrome,3,
Nemaline Myopathy,3,
Spina bifida,3,
Hypermobility syndrome,3,
Stickler syndrome,3,
Antiphospholipid syndrome,3,
Marfan syndrome,3,
Hyperandrogenism,3,
Hemochromatosis,3,
Dumping syndrome,3,
Pachyonychia congenita,3,
Porphyria,3,
Antisynthetase Syndrome,3,
Ophthalmopathy,3,
Cataracts,3,
Hypoparathyroidism,3,
chilaiditi Syndrome,3,
Opsoclonus Myoclonus Syndrome,3,
hypoadrenalism,3,
Familial adenomatous polyposis,3,
myopathy,3,
Hyperparathyroidism,3,
Panhypopituitarism,3,
Carcinoid syndrome,3,
Hereditary Angioedema,3,
Metabolic syndrome,3,
Lynch syndrome,3,
Cauda Equina Syndrome,3,
multiple hereditary exostoses,3,
Cramp Fasciculation Syndrome,3,
spina bifida occulta,3,
Hypogonadism,3,
nutcracker syndrome,3,
Hypopituitarism,3,
hypocortisolism,3,
Osteogenesis Imperfecta,3,
Myelodysplastic syndromes,3,
sapho syndrome,3,
benign fasciculation syndrome,3,
Piriformis Syndrome,3,
parkinson,3,
Thalassemia,3,
myelodysplastic syndrome,3,
vater syndrome,3,
Aniridia,3,
leukoencephalopathy,3,
Nephrocalcinosis,3,
Fibrodysplasia,3,
Hemophilia,3,
Microcephaly,3,
schwannomatosis,3,
Encephalopathy,3,
Acromegaly,3,
Yao Syndrome,3,
Congenital myopathies,3,
Alpha-thalassemia,3,
erythropoietic protoporphyria,3,
tfl syndrome,3,
Myotonia congenita,3,
sicca syndrome,3,
hip pain when gettin up,4,
pain in hand joints,4,
pain in joints on feet,4,
pain inside arm and around elbow,4,
neck stiffness,4,
Frozen shoulder,4,
Hip stiffness,4,
Stiffness,4,
Weak joints in lower extremities,4,
Joint swelling,4,
athletes foot,4,
Joint stiffness,4,
collar bone pain,4,
carpal tunnel left,4,
carpal tunnel right,4,
neck tension,4,
Facet joint pain syndrome,4,
knee issues,4,
stretching,4,
right wrist carpal tunnel,4,
wry neck,4,
L knee pain,4,
Separated shoulder,4,
joint pain in ankles,4,
mystery joints,4,
joint cracking,4,
patellar tracking disorder,4,
SI joint pain,4,
outer knee pain,4,
Plantar Fascitis,4,
stiff joints,4,
Left heel & ankle pain,4,
bi-lateral shoulder surgeries,4,
hot knees,4,
inflamed forearm,4,
Thumb arthritis,4,
Awkward Movement Hip,4,
subluxation - knee cap,4,
subluxation - R shoulder,4,
subluxation - L shoulder,4,
swollen knee,4,
right hip stiffness,4,
Pain in hips,4,
wrist stiffness,4,
Joint issues,4,
knee inflamation,4,
sacro iliac joint pain,4,
achy joints,4,
Unstable pelvis,4,
left ankle instability,4,
Neck Flare,4,
joint clicking,4,
Rib cage pain,4,
pain in toe joints l foot,4,
hand pain joints,4,
knee injury,4,
Arthritis in Left Knee,4,
neck swelling,4,
weak knees,4,
Joint Burning,4,
Shoulder strain,4,
increased R hip pain,4,
Facet Joint Hypetrophy,4,
numbness in right hand,5,
pain in left ankle,5,
pain in left leg,5,
neck and upper back pain,5,
pain in face and jaw,5,
Temporal lobe seizure,5,
Degloving Injury Left Upper Thigh,5,
upper body sweating,5,
Right arm pain,5,
bunion left foot,5,
Bunion Surgery Healing Left,5,
Numb Hand,5,
Right SI joint,5,
Left thigh numbness,5,
Left thigh skin itching,5,
left arm pain,5,
Back,5,
Numb arm,5,
Right ovary pain,5,
right SI joint pain,5,
Weak upper extremities,5,
Right Headache,5,
right rib pain,5,
left leg pain,5,
numbness in left arm,5,
numbness in left face,5,
upper back pa,5,
Left Side Pain,5,
Sore Right Foot,5,
Left Leg Numbness,5,
Numbness Around Right Eye,5,
Dry Left Eye,5,
Dry Right Eye,5,
Sore just below right knee,5,
right toe,5,
left foot,5,
finger - right,5,
Left shoulder trigger points,5,
Right shoulder tightness and burning,5,
hand swelling,5,
left back pain,5,
right low back pain,5,
left low back pain,5,
left mastoid,5,
left foot pain,5,
right foot pain,5,
pain in right arm,5,
